dataset,benchmark_id,benchmark_label,benchmark_scope,site_branch,subgroup_kind,subgroup_variable,horizon_year,risk,survival,n_subjects,source_stage,model_class,model_block,family,model_id,formula_name,formula_label,interaction_branch,risk_lower,risk_upper,survival_lower,survival_upper,estimate_type,reporting_status,reporting_note,support_label,support_priority,primary_supported_flag,interpretation_note,risk_set_size,event_count_by_horizon,known_nonevent_by_horizon,max_followup_year,instability_marker,model_class_label,model_display_label,model_family,latency_type,admissible_flag,admissibility_reasons,screening_flag,screening_note
PNU,NA,NA,NA,site_free,NA,NA,3,0.38821433531936245,0.6117856646806376,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,4,0.43938412473857613,0.5606158752614239,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,5,0.48000583940640945,0.5199941605935906,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,6,0.513413209934167,0.48658679006583305,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,7,0.541584658077408,0.45841534192259203,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,8,0.5657930395211399,0.4342069604788601,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,9,0.5869057087932206,0.4130942912067794,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,10,0.6055398471333985,0.3944601528666015,54,Stage 5,no_cure,non_cure,loglogistic,PNU__base__loglogistic,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,projection,4,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,0,12,0,2.6694045174538,late_tail_projection,No-cure,No-cure: loglogistic,loglogistic,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,1,0.17110336517263866,0.8288966348273613,54,Stage 5,no_cure,non_cure,coxph,PNU__base__coxph,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,primary_supported,1,TRUE,Common comparison horizon retained for cross-model comparability.,28,8,28,2.6694045174538,primary_supported_window,No-cure,No-cure: coxph,coxph,NA,NA,NA,NA,NA
PNU,NA,NA,NA,site_free,NA,NA,2,0.3080439666123819,0.6919560333876181,54,Stage 5,no_cure,non_cure,coxph,PNU__base__coxph,base,Base,no_age_sex_interaction,NA,NA,NA,NA,mean_subject_predicted_risk,reported,Stage 5 mean subject-level predicted risk,sensitivity,3,FALSE,Interpret cautiously; later stages must add empirical follow-up maturity and instability flags.,1,12,1,2.6694045174538,limited_support_window,No-cure,No-cure: coxph,coxph,NA,NA,NA,NA,NA
