dataset,source_stage,model_class,model_class_label,model_block,family,model_id,benchmark_id,formula_name,formula_label,site_branch,interaction_branch,model_display_label,has_risk_rows,has_threshold_rows,has_auxiliary_rows,has_delta_rows,n_supported_horizons
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,cure_weibull,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_coxph,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_exp,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_llogis,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_lnorm,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,nocure_weibull,NA,base_sitefree,base_sitefree,site_free,no_age_sex_interaction,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,benchmark_km,NA,benchmark,benchmark,benchmark,benchmark,Cure MLE: other,TRUE,TRUE,FALSE,FALSE,10
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,treat_all,NA,benchmark_strategy,benchmark_strategy,benchmark,benchmark,Cure MLE: other,FALSE,TRUE,FALSE,FALSE,0
merged,Stage 7,frequentist_cure,Frequentist cure,cure_mle,other,treat_none,NA,benchmark_strategy,benchmark_strategy,benchmark,benchmark,Cure MLE: other,FALSE,TRUE,FALSE,FALSE,0
merged,Stage 3,km_benchmark,KM benchmark,benchmark,KM,km_overall,km_overall,interaction,Interaction,site_free,no_age_sex_interaction,KM: Overall KM benchmark,TRUE,TRUE,FALSE,FALSE,40
merged,Stage 5,no_cure,No-cure,non_cure,coxph,merged__interaction__coxph,NA,interaction,Interaction,site_free,age_sex_interaction,No-cure: coxph,TRUE,TRUE,TRUE,FALSE,10
merged,Stage 5,no_cure,No-cure,non_cure,exponential,merged__interaction__exponential,NA,interaction,Interaction,site_free,age_sex_interaction,No-cure: exponential,TRUE,TRUE,TRUE,FALSE,10
merged,Stage 5,no_cure,No-cure,non_cure,loglogistic,merged__interaction__loglogistic,NA,interaction,Interaction,site_free,age_sex_interaction,No-cure: loglogistic,TRUE,TRUE,TRUE,FALSE,10
merged,Stage 5,no_cure,No-cure,non_cure,lognormal,merged__interaction__lognormal,NA,interaction,Interaction,site_free,age_sex_interaction,No-cure: lognormal,TRUE,TRUE,TRUE,FALSE,10
merged,Stage 5,no_cure,No-cure,non_cure,weibull,merged__interaction__weibull,NA,interaction,Interaction,site_free,age_sex_interaction,No-cure: weibull,TRUE,TRUE,TRUE,FALSE,10
