scenario_id,scenario_label,dataset_scope,dataset_label,model_group,model_name,model_label,interval_type,horizon_year,estimated_survival_probability,estimated_survival_uncertainty_sd,estimated_survival_lower_95,estimated_survival_median_50,estimated_survival_upper_95,estimated_risk_probability,estimated_risk_uncertainty_sd,estimated_risk_lower_95,estimated_risk_median_50,estimated_risk_upper_95,cure_fraction,susceptible_fraction,n_subjects,full_survival_probability,full_risk_probability,full_cure_fraction,full_susceptible_fraction,survival_diff_vs_full,risk_diff_vs_full,abs_risk_diff_vs_full,cure_fraction_diff_vs_full,susceptible_fraction_diff_vs_full
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,3,0.8293187410563596,0.11108481873070415,0.46369871181403777,0.7805643332030806,0.9022677639683777,0.1706812589436404,0.11108481873070414,0.09773223603162227,0.2194356667969194,0.5363012881859621,NA,NA,208,0.8396666987679998,0.16033330123200018,NA,NA,-0.01034795771164021,0.01034795771164021,0.01034795771164021,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,4,0.7925360141539992,0.12785341099375963,0.3715312734121865,0.7360337103306647,0.8802123796934128,0.2074639858460008,0.12785341099375963,0.11978762030658711,0.2639662896693354,0.6284687265878135,NA,NA,208,0.8069246698295593,0.19307533017044065,NA,NA,-0.014388655675560136,0.014388655675560136,0.014388655675560136,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,5,0.7594968362512641,0.14079660624374754,0.30754238864228456,0.6969662989747775,0.8607017939120063,0.24050316374873593,0.14079660624374754,0.1392982060879937,0.30303370102522253,0.6924576113577154,NA,NA,208,0.777627152328535,0.22237284767146503,NA,NA,-0.01813031607727089,0.01813031607727089,0.01813031607727089,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,6,0.7293710145039539,0.15086248587686146,0.25675334427689733,0.6615529669653046,0.8416054976601446,0.2706289854960461,0.15086248587686146,0.15839450233985536,0.33844703303469537,0.7432466557231028,NA,NA,208,0.7509562327168341,0.2490437672831659,NA,NA,-0.021585218212880175,0.021585218212880175,0.021585218212880175,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,7,0.7016196040710795,0.15871392476872215,0.20742996259515134,0.6285461021076442,0.8241776613341795,0.2983803959289205,0.15871392476872218,0.17582233866582056,0.37145389789235583,0.7925700374048485,NA,NA,208,0.7263925444867585,0.2736074555132415,NA,NA,-0.024772940415679012,0.024772940415679012,0.024772940415679012,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,8,0.6758640351800959,0.1648357334740483,0.165834899231917,0.5965072748928881,0.8095359677064934,0.32413596481990414,0.1648357334740483,0.1904640322935065,0.40349272510711187,0.834165100768083,NA,NA,208,0.7035781373325243,0.2964218626674757,NA,NA,-0.02771410215242842,0.02771410215242842,0.02771410215242842,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,9,0.6518235688202055,0.169590891475166,0.13487658813378064,0.5678550876476031,0.7957777331685238,0.34817643117979447,0.16959089147516598,0.20422226683147607,0.43214491235239694,0.8651234118662193,NA,NA,208,0.6822519450891442,0.3177480549108558,NA,NA,-0.030428376268938684,0.030428376268938684,0.030428376268938684,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_weibull,No-cure weibull,95% CI,10,0.6292815998680003,0.17325530289629013,0.10881691820410311,0.5421785503136571,0.7827248587081285,0.37071840013199975,0.17325530289629013,0.21727514129187148,0.4578214496863428,0.8911830817958968,NA,NA,208,0.6622154899067112,0.3377845100932888,NA,NA,-0.032933890038710945,0.032933890038710945,0.032933890038710945,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_lognormal,No-cure lognormal,95% CI,1,0.9154087004932634,0.0570309608163186,0.7460336349196675,0.897083319679052,0.964405783671042,0.0845912995067366,0.0570309608163186,0.035594216328957894,0.10291668032094797,0.25396636508033243,NA,NA,208,0.9158288917253993,0.08417110827460073,NA,NA,-4.201912321358803e-4,4.201912321358803e-4,4.201912321358803e-4,NA,NA
truncated_3y,Truncated at 3 years,SNU,SNU,No-cure,no_cure_lognormal,No-cure lognormal,95% CI,2,0.867689439839621,0.07394896089330366,0.655169871372967,0.8432778101518965,0.9384653472657962,0.132310560160379,0.07394896089330366,0.06153465273420382,0.15672218984810343,0.3448301286270329,NA,NA,208,0.8674470597002458,0.13255294029975417,NA,NA,2.4238013937516456e-4,-2.4238013937516456e-4,2.4238013937516456e-4,NA,NA
