dataset,model_id,metric,horizon_year,mean__main,q025__main,q975__main,mean__wider_latency,q025__wider_latency,q975__wider_latency,delta_mean_wider_minus_main,prior_degenerate_flag__main,prior_tail_warning_flag__main,prior_degenerate_flag__wider_latency,prior_tail_warning_flag__wider_latency,prior_tail_warning_flag_any
merged,MERGED-Isite-L1S0-LL,LNTF,NA,0.983706009564097,0.810678957830318,0.999999890401194,0.98525685690355,0.874703890274782,0.999999731129008,0.0015508473394529876,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LL,cohort_mean_cure_probability,NA,0.983706009564097,0.810678957830318,0.999999890401194,0.98525685690355,0.874703890274782,0.999999731129008,0.0015508473394529876,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LL,cohort_mean_risk,1,0.00715265100855315,6.69518249728547e-9,0.0494937234278057,0.00718085362123641,5.65468874015395e-12,0.0781816270026563,2.820261268325977e-5,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LL,cohort_mean_risk,2,0.00815480572608574,1.41757531260095e-8,0.0606416938612574,0.0082807860298506,2.14327656894484e-10,0.0801646842074871,1.2598030376485998e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LL,cohort_mean_risk,5,0.00971785728448343,2.52867650882113e-8,0.078384138057977,0.00925511615721524,1.20825324097314e-8,0.0832706255392336,-4.6274112726818993e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LL,cohort_mean_risk,10,0.0110822977382206,4.2326996987791e-8,0.0865452451796396,0.00999655400141829,4.19517518816517e-8,0.100257324357388,-0.0010857437368023103,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LL,cohort_mean_susceptible_probability,NA,0.0162939904359027,1.09598804948364e-7,0.189321042169682,0.0147431430964503,2.68870992072046e-7,0.125296109725219,-0.0015508473394524012,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LL,cohort_median_susceptible_time,NA,21.922982545439,0.00738933083408009,153.962739798919,2809.09165755875,5.11709071675647e-4,1805.93707693163,2787.168675013311,FALSE,FALSE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L1S0-LN,LNTF,NA,0.984903179902643,0.854676068166218,0.999999859913411,0.983651616721407,0.859119164196696,0.99999982995015,-0.0012515631812359818,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LN,cohort_mean_cure_probability,NA,0.984903179902643,0.854676068166218,0.999999859913411,0.983651616721407,0.859119164196696,0.99999982995015,-0.0012515631812359818,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LN,cohort_mean_risk,1,0.0097924474102233,8.18605149739027e-15,0.0638275026975571,0.00800805773633723,4.10189270166852e-17,0.059431604094128,-0.001784389673886071,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LN,cohort_mean_risk,2,0.0110054242694734,2.35153097164123e-13,0.0767948162302938,0.00884093745172912,4.10189270166852e-17,0.0784924129313288,-0.0021644868177442805,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LN,cohort_mean_risk,5,0.0121220972080797,3.64308649315335e-9,0.0897798829787352,0.00995087900804296,3.54455650581423e-16,0.090864447134653,-0.0021712182000367397,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LN,cohort_mean_risk,10,0.0127706056394143,1.223441231961e-8,0.115093125792807,0.0108137383731741,2.06709119710839e-15,0.0993742129610627,-0.0019568672662401993,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LN,cohort_mean_susceptible_probability,NA,0.0150968200973567,1.40086588343657e-7,0.14532393183378,0.0163483832785928,1.70049845739971e-7,0.140880835803305,0.0012515631812360997,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-LN,cohort_median_susceptible_time,NA,29.7799095259054,0.010730510718896,184.000890574641,732.243693018328,5.87734319232195e-4,3776.88286357607,702.4637834924226,FALSE,FALSE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L1S0-W,LNTF,NA,0.983145596701925,0.800275166783359,0.999999735411378,0.980274556707175,0.819874980904388,0.999999845775815,-0.0028710399947500242,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-W,cohort_mean_cure_probability,NA,0.983145596701925,0.800275166783359,0.999999735411378,0.980274556707175,0.819874980904388,0.999999845775815,-0.0028710399947500242,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-W,cohort_mean_risk,1,0.0100747153927077,3.1214968286383604e-9,0.0685894828968961,0.00958963040891563,1.54769433062519e-14,0.077075527345819,-4.8508498379206885e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-W,cohort_mean_risk,2,0.011165233230665,2.09022741586876e-8,0.0961328535090607,0.0104213177716744,3.91543858404378e-13,0.0829259318611563,-7.439154589905985e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-W,cohort_mean_risk,5,0.0125625394960004,4.94369424551333e-8,0.112142476654769,0.0117336490815797,3.8790430971226696e-11,0.0974758405165033,-8.288904144206997e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-W,cohort_mean_risk,10,0.0133604180100693,1.26164660167028e-7,0.127515262382184,0.0129097259857823,4.83382707705453e-10,0.107469851183807,-4.506920242870003e-4,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-W,cohort_mean_susceptible_probability,NA,0.016854403298075,2.64588623163654e-7,0.19972483321664,0.0197254432928247,1.54224185881898e-7,0.180125019095612,0.0028710399947497016,FALSE,FALSE,FALSE,FALSE,FALSE
merged,MERGED-Isite-L1S0-W,cohort_median_susceptible_time,NA,13.8644584114137,0.00279665327609287,127.14691458516,191.287466768264,0.00137452060925254,1534.91450994146,177.42300835685032,FALSE,FALSE,FALSE,TRUE,TRUE
merged,MERGED-Isite-L1S1-E,LNTF,NA,0.978122794964897,0.735403675884758,0.99999972964623,0.980502089290112,0.780103626918926,0.999999568379532,0.002379294325214998,FALSE,FALSE,FALSE,FALSE,FALSE
