dataset,formula_variant,site_branch,interaction_branch,model_id,model_class,model_block,model_family,latency_type,component,term,estimate,boot_n_success_estimate,boot_success_rate_estimate,estimate_ci_lower,estimate_ci_upper,stage6_join_key,stage6__dataset_key,stage6__source_dataset,stage6__analysis_variant,stage6__final_decision_flag,stage6__carry_forward_stage7,stage6__carry_forward_stage8,stage6__screening_repeated_in_stage8,stage6__presence_evidence_label,stage6__followup_evidence_label,stage6__screening_note,stage6_flag_joined
PNU,base,site_free,no_age_sex_interaction,cure_coxlatency,semiparametric_cox_latency_cure,frequentist_cure_main,coxph,cox_ph,latency,sex_num,-0.3336927148347474,988,0.988,-21.703389488018512,8.76578823135551,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,incidence_uncured_logit,(Intercept),0.20892973993074135,984,0.984,-2.02671411704953,18.534315531911005,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,incidence_uncured_logit,age_s,1.8650594642224136,984,0.984,-3.3500996631420064,16.75570310589562,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,incidence_uncured_logit,sex_num,-0.6242032865377707,984,0.984,-19.429828366841477,16.426374140108177,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,latency,(Intercept),-1.1941922417363822,984,0.984,-2.9948032179886956,1.671387883202667,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,latency,age_s,1.4356186231015076,984,0.984,-2.120380628005978,4.304911153923483,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,base,site_free,no_age_sex_interaction,cure_aft_sensitivity,aft_latency_cure_sensitivity,frequentist_cure_sensitivity,aft,aft_semiparametric,latency,sex_num,0.5737175496815501,984,0.984,-2.588011822386452,3.348146839921907,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,latency,(Intercept),1.09308850081532,1000,1,0.319195679558937,2.699877620823875,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,latency,age_s,-0.10807550536526404,1000,1,-1.0937991334425383,3.4922688203763017,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
PNU,interaction,site_free,age_sex_interaction,nocure_exp,no_cure,no_cure_anchor,exp,parametric_aft,latency,sex_num,0.7198692767920888,1000,1,-0.9680975615647596,12.323766633001574,PNU,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stage 6 carry-forward was not joined in this refresh run.,FALSE
